T ms, P pa
311652,101011.953125
311702,101013.84375
311752,101013.84375
311802,101013.84375
311852,101013.84375
311902,101013.84375
311952,101013.84375
312002,101013.84375
312052,101013.84375
312102,101013.84375
312152,101015.59375
312202,101015.59375
312252,101015.59375
312302,101015.59375
312352,101015.59375
312402,101015.59375
312452,101015.59375
312502,101015.59375
312552,101015.59375
312602,101017.921875
312664,101017.921875
312714,101017.921875
312764,101017.921875
312814,101017.921875
312864,101017.921875
312914,101017.921875
312964,101017.921875
313014,101017.921875
313064,101018.078125
313114,101019.359375
313164,101019.359375
313214,101019.359375
313264,101019.359375
313314,101019.359375
313364,101019.359375
313414,101019.359375
313464,101019.359375
313514,101019.359375
313564,101020.9453125
313614,101020.9453125
313664,101020.9453125
313714,101020.9453125
313764,101020.9453125
313814,101020.9453125
313864,101020.9453125
313914,101020.9453125
313964,101020.9453125
314014,101021.9375
314064,101021.9375
314114,101021.9375
314164,101021.9375
314214,101021.9375
314264,101021.9375
314314,101021.9375
314364,101021.9375
314414,101021.9375
314464,101021.9375
314514,101023.96875
314564,101023.96875
314614,101023.96875
314664,101023.96875
314714,101023.96875
314764,101023.96875
314814,101023.96875
314864,101023.96875
314914,101023.96875
314964,101025.234375
315014,101025.234375
315064,101025.234375
315114,101025.234375
315164,101025.234375
315214,101025.234375
315264,101025.234375
315314,101025.234375
315364,101025.234375
315414,101026.359375
315464,101026.359375
315514,101026.359375
315564,101026.359375
315614,101026.359375
315664,101026.359375
315714,101026.359375
315764,101026.359375
315814,101026.359375
315874,101026.359375
315924,101027.4765625
315974,101027.4765625
316024,101027.4765625
316074,101027.4765625
316124,101027.4765625
316174,101027.4765625
316224,101027.4765625
316274,101027.4765625
316324,101027.4765625
316374,101028.15625
316424,101028.15625
316474,101028.15625
316524,101028.15625
316574,101028.15625
316624,101028.15625
316674,101028.15625
316724,101028.15625
316774,101028.15625
316824,101029.4375
316874,101029.4375
316924,101029.4375
316974,101029.4375
317024,101029.4375
317074,101029.4375
317124,101029.4375
317174,101029.4375
317224,101029.4375
317274,101029.4375
317324,101030.5546875
317374,101030.5546875
317424,101030.5546875
317474,101030.5546875
317524,101030.5546875
317574,101030.5546875
317624,101030.5546875
317674,101030.5546875
317724,101030.5546875
317774,101031.515625
317824,101031.515625
317874,101031.515625
317924,101031.515625
317974,101031.515625
318024,101031.515625
318074,101031.515625
318124,101031.515625
318174,101031.515625
318224,101031.515625
318274,101032.796875
318324,101032.796875
318374,101032.796875
318424,101032.796875
318474,101032.796875
318524,101032.796875
318574,101032.796875
318624,101032.796875
318680,101032.796875
318730,101033.90625
