Время;Канал A;Канал B
(с);(В);(В)

-0,40024999;0,03894162;5,88183200
-0,40012499;0,03894162;5,88183200
-0,39999999;0,03894162;5,88183200
-0,39987499;0,05676443;5,88183200
-0,39974999;0,03894162;5,88183200
-0,39962499;0,05676443;5,88183200
-0,39949999;0,05676443;5,88183200
-0,39937499;0,03894162;5,88183200
-0,39924999;0,03894162;5,88183200
-0,39912499;0,05676443;5,88183200
-0,39899999;0,03894162;5,88183200
-0,39887499;0,03894162;5,88183200
-0,39874999;0,03894162;5,88183200
-0,39862499;0,05676443;5,88183200
-0,39849999;0,03894162;5,88183200
-0,39837499;0,03894162;5,88183200
-0,39824999;0,05676443;5,88183200
-0,39812499;0,05676443;5,88183200
-0,39799999;0,03894162;5,88183200
-0,39787499;0,03894162;5,88183200
-0,39774999;0,03894162;5,88183200
-0,39762499;0,03894162;5,88183200
-0,39749999;0,03894162;5,88183200
-0,39737499;0,03894162;5,88183200
-0,39724999;0,03894162;5,88183200
-0,39712499;0,03894162;5,88183200
-0,39699999;0,03894162;5,88183200
-0,39687499;0,03894162;5,88183200
-0,39674999;0,03894162;5,88183200
-0,39662499;0,03894162;5,88183200
-0,39649999;0,03894162;5,88183200
-0,39637499;0,03894162;5,88183200
-0,39624999;0,03894162;5,88183200
-0,39612499;0,03894162;5,88183200
-0,39599999;0,05676443;5,88183200
-0,39587499;0,03894162;5,88183200
-0,39574999;0,05676443;5,88183200
-0,39562499;0,03894162;5,88183200
-0,39549999;0,05676443;5,88183200
-0,39537499;0,03894162;5,88183200
-0,39524999;0,03894162;5,88183200
-0,39512499;0,05676443;5,88183200
-0,39499999;0,03894162;5,88183200
-0,39487499;0,05676443;5,88183200
-0,39474999;0,03894162;5,88183200
-0,39462499;0,03894162;5,88183200
-0,39449999;0,03894162;5,88183200
-0,39437499;0,03894162;5,88183200
-0,39424999;0,03894162;5,88183200
-0,39412499;0,03894162;5,88183200
-0,39399999;0,03894162;5,88183200
-0,39387499;0,03894162;5,88183200
-0,39374999;0,03894162;5,88183200
-0,39362499;0,05676443;5,88183200
-0,39349999;0,03894162;5,88183200
-0,39337499;0,03894162;5,88183200
-0,39324999;0,03894162;5,88183200
-0,39312499;0,03894162;5,88183200
-0,39299999;0,03894162;5,88183200
-0,39287499;0,03894162;5,88183200
-0,39274999;0,03894162;5,88183200
-0,39262499;0,03894162;5,88183200
-0,39249999;0,03894162;5,88183200
-0,39237499;0,03894162;5,88183200
-0,39224999;0,03894162;5,88183200
-0,39212499;0,03894162;5,88183200
-0,39199999;0,03894162;5,88183200
-0,39187499;0,03894162;5,88183200
-0,39174999;0,03894162;5,88183200
