Время;Канал A;Канал B
(с);(В);(В)

0,00000000;0,00335704;5,96820000
0,00125000;0,00335704;5,96820000
0,00250000;0,02117985;6,05456700
0,00375000;0,02117985;6,05456700
0,00500000;0,02117985;6,05456700
0,00625000;0,02117985;6,05456700
0,00750000;0,02117985;5,96820000
0,00875000;0,02117985;6,05456700
0,01000000;0,00335704;6,05456700
0,01125000;0,02117985;5,96820000
0,01250000;0,02117985;5,96820000
0,01375000;0,02117985;5,96820000
0,01500000;0,02117985;6,05456700
0,01625000;0,02117985;5,96820000
0,01750000;0,02117985;6,05456700
0,01875000;0,02117985;6,05456700
0,02000000;0,00335704;6,05456700
0,02125000;0,02117985;6,05456700
0,02250000;0,00335704;6,05456700
0,02375000;0,02117985;6,05456700
0,02500000;0,02117985;6,05456700
0,02625000;0,00335704;5,96820000
0,02750000;0,02117985;5,96820000
0,02875000;0,02117985;6,05456700
0,03000000;0,02117985;6,05456700
0,03125000;0,02117985;6,05456700
0,03250000;0,02117985;6,05456700
0,03375000;0,02117985;5,96820000
0,03500000;0,02117985;5,96820000
0,03625000;0,00335704;6,05456700
0,03750000;0,02117985;6,05456700
0,03875000;0,02117985;5,96820000
0,04000000;0,00335704;6,05456700
0,04125000;0,02117985;5,96820000
0,04250000;0,02117985;6,05456700
0,04375000;0,00335704;6,05456700
0,04500000;0,02117985;6,05456700
0,04625000;0,02117985;6,05456700
0,04750000;0,02117985;6,05456700
0,04875000;0,02117985;6,05456700
0,05000000;0,02117985;6,05456700
0,05125000;0,00335704;6,05456700
0,05250000;0,00335704;6,05456700
0,05375000;0,02117985;6,05456700
0,05500000;0,02117985;5,96820000
0,05625000;0,00335704;6,05456700
0,05750000;0,02117985;6,05456700
0,05875000;0,02117985;5,96820000
0,06000000;0,02117985;6,05456700
0,06125000;0,02117985;5,96820000
0,06250000;0,02117985;6,05456700
0,06375000;0,02117985;6,05456700
0,06500000;0,02117985;6,05456700
0,06625000;0,02117985;6,05456700
0,06750000;0,02117985;5,96820000
0,06875000;0,00335704;6,05456700
0,07000000;0,02117985;6,05456700
0,07125000;0,02117985;6,05456700
0,07250000;0,02117985;6,05456700
0,07375000;0,02117985;6,05456700
0,07500000;0,00335704;6,05456700
0,07625000;0,00335704;6,05456700
0,07750000;0,00335704;6,05456700
0,07875000;0,02117985;5,96820000
0,08000000;0,02117985;5,96820000
0,08125000;0,02117985;6,05456700
0,08250000;0,00335704;5,96820000
0,08375000;0,02117985;6,05456700
0,08500000;0,02117985;6,05456700
0,08625000;0,02117985;6,05456700
0,08750000;0,00335704;6,05456700
0,08875000;0,02117985;5,96820000
0,09000000;0,02117985;5,96820000
