Время;Канал A;Канал B
(с);(В);(В)

-0,49516600;0,03894162;5,70879200
-0,49485300;0,03894162;5,70879200
-0,49454000;0,03894162;5,70879200
-0,49422700;0,03894162;5,70879200
-0,49391400;0,03894162;5,70879200
-0,49360100;0,03894162;5,70879200
-0,49328800;0,03894162;5,70879200
-0,49297500;0,03894162;5,70879200
-0,49266200;0,03894162;5,70879200
-0,49234900;0,03894162;5,70879200
-0,49203600;0,03894162;5,70879200
-0,49172300;0,03894162;5,70879200
-0,49141000;0,03894162;5,70879200
-0,49109700;0,03894162;5,70879200
-0,49078400;0,03894162;5,70879200
-0,49047100;0,03894162;5,70879200
-0,49015800;0,03894162;5,70879200
-0,48984500;0,03894162;5,70879200
-0,48953200;0,03894162;5,70879200
-0,48921900;0,03894162;5,70879200
-0,48890600;0,03894162;5,70879200
-0,48859300;0,03894162;5,70879200
-0,48828000;0,03894162;5,70879200
-0,48796700;0,03894162;5,70879200
-0,48765400;0,03894162;5,70879200
-0,48734100;0,03894162;5,70879200
-0,48702800;0,03894162;5,70879200
-0,48671500;0,03894162;5,70879200
-0,48640200;0,03894162;5,70879200
-0,48608900;0,03894162;5,70879200
-0,48577600;0,03894162;5,70879200
-0,48546300;0,03894162;5,70879200
-0,48515000;0,03894162;5,70879200
-0,48483700;0,03894162;5,70879200
-0,48452400;0,03894162;5,70879200
-0,48421100;0,03894162;5,70879200
-0,48389800;0,03894162;5,70879200
-0,48358500;0,03894162;5,70879200
-0,48327200;0,03894162;5,70879200
-0,48295900;0,03894162;5,70879200
-0,48264600;0,03894162;5,70879200
-0,48233300;0,03894162;5,70879200
-0,48202000;0,03894162;5,70879200
-0,48170700;0,03894162;5,70879200
-0,48139400;0,03894162;5,70879200
-0,48108100;0,03894162;5,70879200
-0,48076800;0,03894162;5,70879200
-0,48045500;0,03894162;5,70879200
-0,48014200;0,03894162;5,70879200
-0,47982900;0,03894162;5,70879200
-0,47951600;0,03894162;5,70879200
-0,47920300;0,03894162;5,70879200
-0,47889000;0,03894162;5,70879200
-0,47857700;0,03894162;5,70879200
-0,47826400;0,03894162;5,70879200
-0,47795100;0,03894162;5,70879200
-0,47763800;0,03894162;5,70879200
-0,47732500;0,03894162;5,70879200
-0,47701200;0,03894162;5,70879200
-0,47669900;0,03894162;5,70879200
-0,47638600;0,03894162;5,70879200
-0,47607300;0,03894162;5,70879200
-0,47576000;0,03894162;5,70879200
-0,47544700;0,03894162;5,70879200
-0,47513400;0,03894162;5,70879200
-0,47482100;0,03894162;5,70879200
-0,47450800;0,03894162;5,70879200
-0,47419500;0,03894162;5,70879200
-0,47388200;0,03894162;5,70879200
