Время;Канал A;Канал B
(с);(mВ);(В)

-4,98437500;17,31925000;5,70879200
-4,98125000;17,31925000;5,70879200
-4,97812500;17,31925000;5,70879200
-4,97500000;17,31925000;5,70879200
-4,97187500;17,31925000;5,70879200
-4,96875000;17,31925000;5,70879200
-4,96562500;17,31925000;5,70879200
-4,96250000;21,74444000;5,70879200
-4,95937500;17,31925000;5,70879200
-4,95625000;17,31925000;5,70879200
-4,95312500;17,31925000;5,70879200
-4,95000000;17,31925000;5,70879200
-4,94687500;17,31925000;5,70879200
-4,94375000;17,31925000;5,70879200
-4,94062500;35,01999000;5,70879200
-4,93750000;17,31925000;5,70879200
-4,93437500;17,31925000;5,70879200
-4,93125000;17,31925000;5,70879200
-4,92812500;17,31925000;5,70879200
-4,92500000;17,31925000;5,70879200
-4,92187500;17,31925000;5,70879200
-4,91875000;17,31925000;5,70879200
-4,91562500;17,31925000;5,70879200
-4,91250000;17,31925000;5,70879200
-4,90937500;17,31925000;5,70879200
-4,90625000;17,31925000;5,70879200
-4,90312500;17,31925000;5,70879200
-4,90000000;17,31925000;5,70879200
-4,89687500;17,31925000;5,70879200
-4,89375000;17,31925000;5,70879200
-4,89062500;17,31925000;5,70879200
-4,88750000;21,74444000;5,70879200
-4,88437500;17,31925000;5,70879200
-4,88125000;17,31925000;5,70879200
-4,87812500;17,31925000;5,70879200
-4,87500000;17,31925000;5,70879200
-4,87187500;17,31925000;5,70879200
-4,86875000;17,31925000;5,70879200
-4,86562500;17,31925000;5,70879200
-4,86250000;17,31925000;5,70879200
-4,85937500;17,31925000;5,70879200
-4,85625000;17,31925000;5,70879200
-4,85312500;17,31925000;5,70879200
-4,85000000;17,31925000;5,70879200
-4,84687500;21,74444000;5,70879200
-4,84375000;17,31925000;5,70879200
-4,84062500;17,31925000;5,70879200
-4,83750000;17,31925000;5,70879200
-4,83437500;17,31925000;5,70879200
-4,83125000;21,74444000;5,70879200
-4,82812500;17,31925000;5,70879200
-4,82500000;17,31925000;5,70879200
-4,82187500;17,31925000;5,70879200
-4,81875000;17,31925000;5,70879200
-4,81562500;17,31925000;5,70879200
-4,81250000;17,31925000;5,70879200
-4,80937500;17,31925000;5,70879200
-4,80625000;17,31925000;5,70879200
-4,80312500;17,31925000;5,70879200
-4,80000000;17,31925000;5,70879200
-4,79687500;21,74444000;5,70879200
-4,79375000;17,31925000;5,70879200
-4,79062500;17,31925000;5,70879200
