#multi:
	A			bench_1			bench_2			light_1_a			light_1_b			light_2_b			light_2_a			
t	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	
1.684229E1	1.920534E1	5.254107E2	9.689095E1										4.159414E0	6.301083E2	1.305625E3						
1.685895E1	1.950747E1	5.242970E2	7.261253E1																		
1.687561E1	1.977620E1	5.247425E2	5.100696E1																		
1.689226E1	2.006451E1	5.231833E2	2.784223E1																		
1.690892E1	2.031657E1	5.242970E2	7.573086E0																		
1.692558E1																					
1.694224E1																					
1.695890E1																					
1.697556E1																					
1.699222E1																					
1.700888E1																					
1.702554E1																					
1.704220E1																					
1.705885E1																					
1.707551E1																					
1.709217E1																					
1.710883E1																					
1.712549E1																					
1.714215E1																					
1.715881E1																					
1.717547E1																					
1.719213E1																					
1.720879E1																					
1.722544E1																					
1.724210E1																					
1.725876E1																					
1.727542E1																					
1.729208E1																					
1.730874E1																					
1.732540E1																					
1.734206E1																					
1.735872E1																					
1.737538E1																					
1.739204E1																					
1.740869E1																					
1.742535E1																					
1.744201E1																					
1.745867E1																					
1.747533E1																					
1.749199E1																					
1.750865E1																					
1.752531E1																					
1.754197E1																					
1.755863E1																					
1.757528E1																					
1.759194E1																					
1.760860E1										-2.324380E-1	6.404880E2	1.658590E3									
1.762526E1										-2.241384E-1	6.406365E2	1.657922E3									
1.764192E1										-2.222720E-1	6.404138E2	1.657773E3									
1.765858E1										-2.222720E-1	6.404138E2	1.657773E3									
1.767524E1										-2.232020E-1	6.404880E2	1.657848E3									
1.769190E1										-2.194884E-1	6.402653E2	1.657551E3									
1.770856E1										-2.204440E-1	6.406365E2	1.657625E3									
1.772522E1										-2.204440E-1	6.406365E2	1.657625E3									
1.774188E1										-2.287692E-1	6.407850E2	1.658293E3									
1.775853E1																					
1.777519E1																					
1.779185E1																					
1.780851E1																					
1.782517E1																					
1.784183E1																					
1.785849E1																					
1.787515E1																					
1.789181E1																					
1.790847E1																					
1.792512E1																					
1.794178E1																					
1.795844E1																					
1.797510E1																					
1.799176E1																					
1.800842E1																					
1.802508E1																					
1.804174E1																					
1.805840E1																					
1.807506E1										-1.973668E-1	6.407850E2	1.655769E3									
1.809171E1																					
1.810837E1																					
1.812503E1																					
1.814169E1										-1.797608E-1	6.401168E2	1.654358E3									
1.815835E1																					
1.817501E1																					
1.819167E1																					
1.820833E1																					
1.822499E1																					
1.824165E1																					
1.825831E1																					
1.827496E1																					
1.829162E1																					
1.830828E1																					
1.832494E1																					
1.834160E1																					
1.835826E1																					
1.837492E1																					
1.839158E1																					
1.840824E1																					
1.842490E1																					
1.844155E1																					
1.845821E1																					
1.847487E1																					
1.849153E1																					
1.850819E1																					
1.852485E1																					
1.854151E1																					
1.855817E1																					
1.857483E1										-1.206825E-1	6.404880E2	1.649607E3									
1.859149E1																					
1.860815E1																					
1.862480E1										-1.035841E-1	6.405018E2	1.648232E3									
1.864146E1																					
1.865812E1																					
1.867478E1																					
1.869144E1																					
1.870810E1																					
1.872476E1																					
1.874142E1																					
1.875808E1																					
1.877474E1																					
1.879139E1																					
1.880805E1																					
1.882471E1																					
1.884137E1																					
1.885803E1																					
1.887469E1																					
1.889135E1										-2.930704E-2	6.427071E2	1.642246E3									
1.890801E1																					
1.892467E1																					
1.894133E1																					
1.895798E1																					
1.897464E1																					
1.899130E1																					
1.900796E1																					
1.902462E1																					
1.904128E1																					
1.905794E1										-1.004244E-2	6.427153E2	1.640698E3									
1.907460E1																					
1.909126E1																					
1.910792E1																					
1.912458E1																					
1.914123E1																					
1.915789E1																					
1.917455E1																					
1.919121E1																					
1.920787E1																					
1.922453E1																					
1.924119E1																					
1.925785E1																					
1.927451E1										2.692652E-2	6.437625E2	1.637719E3									
1.929117E1										3.044178E-2	6.434819E2	1.637438E3									
1.930782E1																					
1.932448E1																					
1.934114E1																					
1.935780E1																					
1.937446E1																					
1.939112E1																					
1.940778E1																					
1.942444E1																					
1.944110E1																					
1.945776E1										1.078691E-1	6.427071E2	1.631219E3									
1.947442E1																					
1.949107E1																					
1.950773E1										1.472252E-1	6.408168E2	1.628069E3									
1.952439E1																					
1.954105E1																					
1.955771E1																					
1.957437E1																					
1.959103E1																					
1.960769E1																					
1.962435E1																					
1.964101E1																					
1.965766E1																					
1.967432E1																					
1.969098E1																					
1.970764E1																					
1.972430E1																					
1.974096E1																					
1.975762E1																					
1.977428E1																					
1.979094E1																					
1.980760E1																					
1.982425E1																					
1.984091E1																					
1.985757E1																					
1.987423E1																					
1.989089E1																					
1.990755E1																					
1.992421E1																					
1.994087E1																					
1.995753E1																					
1.997419E1																					
1.999085E1																					
2.000750E1																					
2.002416E1																					
2.004082E1																					
2.005748E1																					
2.007414E1																					
2.009080E1																					
2.010746E1																					
2.012412E1																					
2.014078E1																					
