T ms, P pa
785945,100236.5625
785955,100245.609375
785965,100235.984375
785975,100237.234375
785985,100237.234375
785995,100238.828125
786005,100237.3359375
786015,100238.015625
786025,100239.2734375
786035,100236.4375
786045,100238.6953125
786055,100238.6953125
786065,100240.1796875
786075,100237.3359375
786085,100238.6953125
786095,100237.015625
786105,100238.6953125
786115,100233.265625
786125,100233.265625
786135,100234.9765625
786145,100230.7734375
786155,100228.28125
786165,100225.25
786175,100220.9453125
786185,100217.546875
786195,100218.328125
786205,100215.96875
786215,100207.6875
786225,100206.90625
786235,100202.7109375
786245,100199.765625
786255,100194.5625
786265,100194.5625
786275,100190.484375
786285,100188.671875
786295,100181.4375
786372,100128.03125
786382,100128.828125
786392,100125.53125
786402,100111.0546875
786412,100102.125
786422,100090.6875
786432,100079.59375
786442,100079.59375
786452,100071.0
786462,100059.453125
786472,100047.90625
786482,100029.484375
786492,100017.9375
786502,100003.6875
786512,100002.140625
786522,99990.203125
786532,99976.078125
786542,99966.5625
786552,99952.859375
786562,99935.671875
786572,99927.5234375
786582,99927.5234375
786592,99918.234375
786602,99909.4140625
786612,99902.625
786622,99893.125
786632,99885.4296875
786642,99885.4296875
786652,99887.46875
786662,99879.546875
786672,99874.109375
786682,99875.46875
786692,99869.359375
786702,99857.9921875
786712,99857.9921875
786722,99859.859375
786732,99857.8125
786742,99857.71875
786752,99857.71875
786762,99854.8828125
786832,99845.59375
786842,99846.28125
786852,99843.953125
786862,99846.28125
786872,99844.359375
786882,99840.84375
786892,99837.90625
786902,99839.203125
786912,99839.203125
786922,99839.203125
786932,99840.171875
786942,99840.625
786952,99838.71875
786962,99838.8125
786972,99830.03125
786982,99836.140625
787002,99840.625
787012,99833.546875
787022,99839.390625
787032,99839.9453125
787042,99835.125
787052,99835.125
787062,99834.515625
787072,99833.15625
787082,99835.875
787092,99835.0
787102,99836.484375
787112,99832.4140625
787122,99830.03125
787132,99832.4140625
787142,99834.453125
787152,99831.0625
787162,99830.5703125
787172,99831.125
787182,99829.359375
787192,99829.359375
787202,99829.578125
787212,99828.40625
787222,99828.40625
787300,99822.296875
787310,99822.296875
787320,99819.171875
787330,99821.5546875
787340,99826.3671875
787350,99818.03125
787360,99819.515625
787370,99822.234375
787380,99819.078125
787390,99818.03125
787400,99816.9921875
787410,99818.15625
787420,99818.2265625
787430,99815.4453125
787440,99815.4453125
787450,99811.484375
787460,99817.546875
787471,99812.109375
787481,99813.28125
787491,99811.4375
787501,99813.9609375
787511,99809.671875
787521,99809.671875
787531,99811.375
787541,99807.359375
787551,99809.328125
787561,99809.2109375
787571,99810.015625
787581,99806.6171875
