#multi:
	A			light_1_a			light_1_b			light_2_b			light_2_a			bench_1			bench_2			
t	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	
1.541233E1																					
1.542908E1																					
1.544583E1																					
1.546259E1																					
1.547934E1																					
1.549609E1																					
1.551284E1																					
1.552960E1																					
1.554635E1																					
1.556310E1																					
1.557985E1																					
1.559661E1																					
1.561336E1																					
1.563011E1																					
1.564686E1																					
1.566362E1																					
1.568037E1																					
1.569712E1																					
1.571387E1																					
1.573063E1																					
1.574738E1																					
1.576413E1																					
1.578088E1																					
1.579764E1																					
1.581439E1																					
1.583114E1																					
1.584789E1																					
1.586465E1																					
1.588140E1																					
1.589815E1																					
1.591490E1																					
1.593166E1	1.669882E1	3.912474E2	3.512370E2																		
1.594841E1	1.664567E1	3.920894E2	3.554470E2																		
1.596516E1	1.659259E1	3.906861E2	3.596570E2																		
1.598191E1	1.654299E1	3.909667E2	3.635863E2																		
1.599867E1	1.647214E1	3.915281E2	3.691996E2																		
1.601542E1	1.641901E1	3.918087E2	3.734096E2																		
1.603217E1	1.636947E1	3.901247E2	3.773389E2																		
1.604892E1	1.629509E1	3.901247E2	3.832328E2																		
1.606568E1	1.626649E1	3.899167E2	3.855000E2																		
1.608243E1	1.620550E1	3.897500E2	3.903333E2																		
1.609918E1	1.613716E1	3.892500E2	3.957500E2																		
1.611593E1	1.607932E1	3.891667E2	4.003333E2																		
1.613269E1	1.604463E1	3.886667E2	4.030833E2																		
1.614944E1	1.598047E1	3.890000E2	4.081667E2																		
1.616619E1	1.591424E1	3.885000E2	4.134167E2																		
1.618294E1	1.585642E1	3.878333E2	4.180000E2																		
1.619970E1	1.580066E1	3.885833E2	4.224167E2																		
1.621645E1	1.573970E1	3.875833E2	4.272500E2																		
1.623320E1	1.567659E1	3.877500E2	4.322500E2																		
1.624995E1	1.561141E1	3.873333E2	4.374167E2																		
1.626671E1	1.555146E1	3.876667E2	4.421667E2																		
1.628346E1	1.548626E1	3.876667E2	4.473333E2																		
1.630021E1	1.542424E1	3.867500E2	4.522500E2																		
1.631697E1	1.537587E1	3.865833E2	4.560833E2																		
1.633372E1	1.529910E1	3.865833E2	4.621667E2																		
1.635047E1	1.523813E1	3.859167E2	4.670000E2																		
1.636722E1	1.515986E1	3.869000E2	4.732000E2																		
1.638398E1	1.511635E1	3.858500E2	4.766500E2																		
1.640073E1	1.503432E1	3.861000E2	4.831500E2																		
1.641748E1	1.498005E1	3.864500E2	4.874500E2																		
1.643423E1	1.489993E1	3.857500E2	4.938000E2																		
1.645099E1	1.482675E1	3.855500E2	4.996000E2																		
1.646774E1	1.477816E1	3.858000E2	5.034500E2																		
1.648449E1	1.469173E1	3.852500E2	5.103000E2																		
1.650124E1	1.460844E1	3.854000E2	5.169000E2																		
1.651800E1	1.452517E1	3.847000E2	5.235000E2																		
1.653475E1	1.449173E1	3.846500E2	5.261500E2																		
1.655150E1	1.438195E1	3.842500E2	5.348500E2																		
1.656825E1	1.429993E1	3.842000E2	5.413500E2																		
1.658501E1	1.422927E1	3.838500E2	5.469500E2																		
1.660176E1	1.416240E1	3.833000E2	5.522500E2																		
1.661851E1																					
1.663526E1																					
1.665202E1	1.389260E1	3.839843E2	5.736291E2																		
1.666877E1	1.385245E1	3.836307E2	5.768113E2																		
1.668552E1	1.376549E1	3.820396E2	5.837060E2																		
1.670227E1	1.365834E1	3.841611E2	5.921918E2																		
1.671903E1																					
1.673578E1	1.350000E1	3.822164E2	6.047438E2																		
1.675253E1																					
1.676928E1																					
1.678604E1																					
1.680279E1																					
1.681954E1																					
1.683629E1	1.299587E1	3.800949E2	6.446980E2																		
1.685305E1	1.288878E1	3.802717E2	6.531838E2																		
1.686980E1	1.281518E1	3.793878E2	6.590178E2																		
1.688655E1	1.270808E1	3.797414E2	6.675037E2																		
1.690330E1	1.262555E1	3.793878E2	6.740449E2																		
1.692006E1	1.252738E1	3.797414E2	6.818235E2																		
1.693681E1	1.241361E1	3.793878E2	6.908397E2																		
1.695356E1	1.234224E1	3.786806E2	6.964970E2																		
1.697031E1	1.224185E1	3.786806E2	7.044524E2																		
1.698707E1	1.214208E1	3.796007E2	7.123567E2																		
1.700382E1	1.204108E1	3.796007E2	7.203601E2																		
1.702057E1	1.194925E1	3.799314E2	7.276360E2																		
1.703732E1	1.186162E1	3.797991E2	7.345811E2																		
1.705408E1	1.177483E1	3.790054E2	7.414601E2																		
1.707083E1	1.167215E1	3.793361E2	7.495958E2																		
1.708758E1	1.156614E1	3.794684E2	7.579961E2																		
1.710433E1	1.145597E1	3.792038E2	7.667271E2																		
1.712109E1	1.138838E1	3.787408E2	7.720848E2																		
1.713784E1	1.129573E1	3.786085E2	7.794268E2																		
1.715459E1	1.120893E1	3.782778E2	7.863057E2																		
1.717134E1	1.109874E1	3.787408E2	7.950367E2																		
1.718810E1	1.101192E1	3.792038E2	8.019157E2																		
1.720485E1	1.093598E1	3.785424E2	8.079348E2																		
1.722160E1	1.083248E1	3.783439E2	8.161367E2																		
1.723835E1	1.073484E1	3.777487E2	8.238756E2																		
1.725511E1	1.061966E1	3.774179E2	8.330034E2																		
1.727186E1	1.050864E1	3.778148E2	8.418006E2																		
1.728861E1	1.040931E1	3.779471E2	8.496717E2																		
1.730536E1	1.033588E1	3.768888E2	8.554924E2																		
1.732212E1																					
1.733887E1																					
1.735562E1																					
1.737237E1																					
1.738913E1	9.801691E0	3.765581E2	8.978246E2																		
1.740588E1																					
1.742263E1	9.567159E0	3.759628E2	9.164111E2																		
1.743938E1																					
1.745614E1																					
1.747289E1																					
1.748964E1																					
1.750639E1	9.002089E0	3.754336E2	9.611906E2																		
1.752315E1	8.885258E0	3.745076E2	9.704508E2																		
1.753990E1	8.766748E0	3.739123E2	9.798432E2																		
1.755665E1	8.675756E0	3.743092E2	9.870529E2																		
1.757340E1	8.549718E0	3.743092E2	9.970407E2																		
1.759016E1	8.427008E0	3.747060E2	1.006764E3																		
1.760691E1	8.321006E0	3.745737E2	1.015164E3																		
1.762366E1	8.204166E0	3.739784E2	1.024424E3																		
1.764042E1	8.083143E0	3.737139E2	1.034015E3																		
1.765717E1	7.954607E0	3.735154E2	1.044201E3																		
1.767392E1	7.831083E0	3.731186E2	1.053991E3																		
1.769067E1																					
1.770743E1	7.622409E0	3.731847E2	1.070527E3																		
1.772418E1	7.506364E0	3.740446E2	1.079721E3																		
1.774093E1	7.425410E0	3.736477E2	1.086137E3																		
1.775768E1																					
1.777444E1																					
1.779119E1																					
1.780794E1																					
1.782469E1																					
1.784145E1																					
1.785820E1																					
1.787495E1																					
1.789170E1																					
1.790846E1																					
1.792521E1																					
1.794196E1																					
1.795871E1																					
1.797547E1																					
1.799222E1																					
1.800897E1																					
1.802572E1	5.255154E0	3.696250E2	1.258125E3																		
1.804248E1	5.128975E0	3.691250E2	1.268125E3																		
1.805923E1	4.980702E0	3.690000E2	1.279875E3																		
1.807598E1	4.846591E0	3.701250E2	1.290500E3																		
1.809273E1	4.696741E0	3.700000E2	1.302375E3																		
1.810949E1	4.556359E0	3.697500E2	1.313500E3																		
1.812624E1	4.438101E0	3.680000E2	1.322875E3																		
1.814299E1	4.321338E0	3.692500E2	1.332125E3																		
1.815974E1	4.187255E0	3.693750E2	1.342750E3																		
1.817650E1	4.073778E0	3.688326E2	1.351744E3																		
1.819325E1	3.931372E0	3.687584E2	1.363028E3																		
1.821000E1	3.773037E0	3.687584E2	1.375576E3																		
1.822675E1																					
1.824351E1																					
1.826026E1																					
1.827701E1																					
1.829376E1																					
1.831052E1																					
1.832727E1																					
1.834402E1																					
1.836077E1																					
1.837753E1																					
1.839428E1																					
1.841103E1	2.012951E0	3.637030E2	1.515063E3																		
1.842778E1	1.880820E0	3.645940E2	1.525531E3																		
1.844454E1	1.718011E0	3.655651E2	1.538431E3																		
1.846129E1	1.582873E0	3.649351E2	1.549141E3																		
1.847804E1	1.433844E0	3.635176E2	1.560954E3																		
1.849479E1	1.334413E0	3.654076E2	1.568829E3																		
1.851155E1																					
1.852830E1																					
1.854505E1																					
1.856180E1																					
1.857856E1																					
1.859531E1	1.574655E0	4.179106E2	1.549678E3																		
1.861206E1	1.585073E0	4.254886E2	1.548836E3																		
1.862881E1	1.588362E0	4.347505E2	1.548555E3																		
1.864557E1	1.581133E0	4.400832E2	1.549116E3																		
1.866232E1	1.605757E0	4.462578E2	1.547152E3																		
1.867907E1																					
1.869582E1																					
1.871258E1																					
1.872933E1																					
1.874608E1	1.587129E0	4.799376E2	1.548555E3																		
1.876283E1	1.579854E0	4.869543E2	1.549116E3																		
1.877959E1																					
1.879634E1																					
1.881309E1																					
1.882984E1	1.536725E0	5.099688E2	1.552484E3																		
1.884660E1	1.554296E0	5.150208E2	1.551081E3																		
1.886335E1																					
1.888010E1																					
1.889685E1																					
1.891361E1	1.557225E0	5.374740E2	1.550800E3																		
1.893036E1	1.542851E0	5.450520E2	1.551923E3																		
1.894711E1	1.528615E0	5.475780E2	1.553046E3																		
1.896386E1	1.549797E0	5.501040E2	1.551362E3																		
1.898062E1	1.577315E0	5.567045E2	1.549167E3																		
1.899737E1	1.577154E0	5.626067E2	1.549167E3																		
1.901412E1	1.576993E0	5.685090E2	1.549167E3																		
1.903088E1	1.571268E0	5.722953E2	1.549612E3																		
1.904763E1	1.562721E0	5.765271E2	1.550280E3																		
1.906438E1	1.561191E0	5.810930E2	1.550392E3																		
1.908113E1	1.559625E0	5.869953E2	1.550503E3																		
1.909789E1	1.565152E0	5.904475E2	1.550058E3																		
1.911464E1	1.567841E0	5.949020E2	1.549835E3																		
1.913139E1	1.564881E0	6.003588E2	1.550058E3																		
1.914814E1	1.561044E0	6.037584E2	1.550354E3																		
1.916490E1	1.557197E0	6.084725E2	1.550649E3																		
1.918165E1	1.566082E0	6.098868E2	1.549942E3																		
1.919840E1	1.568959E0	6.134813E2	1.549706E3																		
1.921515E1	1.578523E0	6.172526E2	1.548940E3																		
1.923191E1	1.576936E0	6.209060E2	1.549058E3																		
1.924866E1	1.581314E0	6.239702E2	1.548705E3																		
1.926541E1	1.583403E0	6.291557E2	1.548528E3																		
1.928216E1	1.572103E0	6.345180E2	1.549412E3																		
1.929892E1	1.574218E0	6.387607E2	1.549235E3																		
1.931567E1	1.580146E0	6.395267E2	1.548763E3																		
1.933242E1	1.571844E0	6.440052E2	1.549412E3																		
1.934917E1	1.582497E0	6.465759E2	1.548562E3																		
1.936593E1																					
1.938268E1																					
1.939943E1	1.584782E0	6.559393E2	1.548361E3																		
1.941618E1	1.596598E0	6.600350E2	1.547415E3																		
1.943294E1	1.588560E0	6.631855E2	1.548046E3																		
1.944969E1	1.600401E0	6.663361E2	1.547100E3																		
1.946644E1	1.604274E0	6.701167E2	1.546785E3																		
1.948319E1	1.604197E0	6.729522E2	1.546785E3																		
1.949995E1	1.604197E0	6.729522E2	1.546785E3																		
1.951670E1	1.604068E0	6.776779E2	1.546785E3																		
1.953345E1	1.596039E0	6.805134E2	1.547415E3																		
1.955020E1	1.606527E0	6.809407E2	1.546583E3																		
1.956696E1	1.605164E0	6.850087E2	1.546683E3																		
1.958371E1	1.605104E0	6.871915E2	1.546683E3																		
1.960046E1	1.595001E0	6.903666E2	1.547476E3																		
1.961721E1	1.602451E0	6.926486E2	1.546881E3																		
1.963397E1	1.606126E0	6.956252E2	1.546583E3																		
1.965072E1	1.606053E0	6.983041E2	1.546583E3																		
1.966747E1	1.612303E0	6.987010E2	1.546087E3																		
1.968422E1	1.599622E0	7.045549E2	1.547079E3																		
1.970098E1	1.600834E0	7.060432E2	1.546980E3																		
1.971773E1	1.604490E0	7.097143E2	1.546683E3																		
1.973448E1	1.593140E0	7.126909E2	1.547576E3																		
1.975123E1	1.600587E0	7.150721E2	1.546980E3																		
1.976799E1	1.592988E0	7.182471E2	1.547576E3																		
1.978474E1	1.594183E0	7.203307E2	1.547476E3																		
1.980149E1	1.609108E0	7.240018E2	1.546286E3																		
1.981824E1	1.606536E0	7.264823E2	1.546484E3																		
1.983500E1	1.604008E0	7.273753E2	1.546683E3																		
1.985175E1	1.605241E0	7.280698E2	1.546583E3																		
1.986850E1	1.603918E0	7.306495E2	1.546683E3																		
1.988525E1	1.606371E0	7.325347E2	1.546484E3																		
1.990201E1	1.611312E0	7.350152E2	1.546087E3																		
1.991876E1	1.610054E0	7.352136E2	1.546186E3																		
1.993551E1	1.632551E0	7.367019E2	1.544401E3																		
1.995226E1	1.629968E0	7.395792E2	1.544599E3																		
1.996902E1	1.624928E0	7.407699E2	1.544996E3																		
1.998577E1	1.623662E0	7.412660E2	1.545095E3																		
2.000252E1	1.617350E0	7.431511E2	1.545591E3																		
2.001927E1	1.634806E0	7.458300E2	1.544202E3																		
2.003603E1	1.627245E0	7.476160E2	1.544797E3																		
2.005278E1	1.637226E0	7.489058E2	1.544004E3																		
2.006953E1	1.635904E0	7.514855E2	1.544103E3																		
2.008628E1	1.635904E0	7.514855E2	1.544103E3																		
2.010304E1	1.637099E0	7.535691E2	1.544004E3																		
2.011979E1	1.625765E0	7.559504E2	1.544897E3																		
2.013654E1	1.640742E0	7.577363E2	1.543706E3																		
2.015329E1	1.638181E0	7.598199E2	1.543904E3																		
2.017005E1	1.636904E0	7.607129E2	1.544004E3																		
2.018680E1	1.633099E0	7.624989E2	1.544301E3																		
2.020355E1	1.622972E0	7.665668E2	1.545095E3																		
2.022030E1	1.647997E0	7.671621E2	1.543111E3																		
2.023706E1	1.632907E0	7.695434E2	1.544301E3																		
2.025381E1	1.632883E0	7.704364E2	1.544301E3																		
2.027056E1	1.641623E0	7.713294E2	1.543607E3																		
2.028731E1	1.659079E0	7.740083E2	1.542218E3																		
2.030407E1	1.637628E0	7.800606E2	1.543904E3																		
