Time,Channel A
(s),(V)

0.00000000,5.03036600
0.00031300,4.94216700
0.00062600,5.03036600
0.00093900,5.03036600
0.00125200,5.03036600
0.00156500,5.03036600
0.00187800,5.03036600
0.00219100,5.03036600
0.00250400,5.03036600
0.00281700,5.03036600
0.00313000,5.03036600
0.00344300,5.03036600
0.00375600,5.03036600
0.00406900,5.03036600
0.00438200,5.03036600
0.00469500,5.03036600
0.00500800,5.03036600
0.00532100,5.03036600
0.00563400,5.03036600
0.00594700,5.03036600
0.00626000,5.03036600
0.00657300,5.03036600
0.00688600,5.03036600
0.00719900,5.03036600
0.00751200,5.03036600
0.00782500,4.94216700
0.00813800,5.03036600
0.00845100,5.03036600
0.00876400,5.03036600
0.00907700,5.03036600
0.00939000,5.03036600
0.00970300,5.11887000
0.01001600,5.03036600
0.01032900,5.03036600
0.01064200,5.03036600
0.01095500,5.03036600
0.01126800,5.03036600
0.01158100,5.03036600
0.01189400,5.03036600
0.01220700,5.03036600
0.01252000,5.03036600
0.01283300,5.03036600
0.01314600,5.03036600
0.01345900,5.03036600
0.01377200,5.03036600
0.01408500,5.03036600
0.01439800,5.03036600
0.01471100,5.03036600
0.01502400,5.03036600
0.01533700,5.03036600
0.01565000,5.03036600
0.01596300,5.03036600
0.01627600,5.03036600
0.01658900,5.03036600
0.01690200,5.03036600
0.01721500,5.11887000
0.01752800,5.03036600
0.01784100,5.03036600
0.01815400,5.03036600
0.01846700,5.03036600
0.01878000,5.03036600
0.01909300,5.03036600
0.01940600,5.03036600
0.01971900,5.03036600
0.02003200,5.03036600
0.02034500,5.03036600
0.02065800,5.03036600
0.02097100,5.03036600
0.02128400,5.03036600
0.02159700,5.03036600
0.02191000,4.94216700
0.02222300,5.03036600
0.02253600,5.03036600
0.02284900,5.03036600
0.02316200,5.03036600
0.02347500,5.03036600
0.02378800,5.03036600
0.02410100,5.03036600
0.02441400,5.03036600
0.02472700,5.03036600
0.02504000,5.03036600
0.02535300,5.03036600
0.02566600,5.03036600
0.02597900,5.03036600
0.02629200,5.03036600
0.02660500,5.03036600
0.02691800,5.03036600
0.02723100,5.03036600
0.02754400,5.03036600
0.02785700,5.03036600
0.02817000,5.03036600
0.02848300,5.03036600
0.02879600,5.03036600
0.02910900,5.03036600
0.02942200,5.03036600
0.02973500,5.03036600
0.03004800,5.03036600
0.03036100,5.03036600
0.03067400,5.03036600
0.03098700,5.03036600
0.03130000,5.03036600
0.03161300,5.03036600
0.03192600,5.03036600
0.03223900,5.03036600
0.03255200,5.03036600
0.03286500,5.03036600
0.03317800,5.03036600
0.03349100,5.03036600
0.03380400,5.03036600
0.03411700,5.03036600
0.03443000,5.03036600
0.03474300,5.03036600
0.03505600,5.03036600
0.03536900,5.03036600
0.03568200,5.03036600
0.03599500,5.03036600
0.03630800,5.11887000
0.03662100,5.03036600
0.03693400,5.03036600
0.03724700,5.03036600
0.03756000,5.03036600
0.03787300,5.11887000
0.03818600,5.03036600
0.03849900,5.03036600
0.03881200,5.03036600
0.03912500,5.03036600
0.03943800,5.03036600
0.03975100,5.03036600
0.04006400,5.03036600
0.04037700,5.03036600
0.04069000,5.03036600
0.04100300,5.03036600
0.04131600,5.03036600
0.04162900,5.03036600
0.04194200,5.03036600
0.04225500,5.03036600
0.04256800,4.94216700
0.04288100,5.03036600
0.04319400,5.03036600
0.04350700,5.03036600
0.04382000,5.03036600
0.04413300,5.03036600
0.04444600,5.03036600
0.04475900,5.03036600
0.04507200,5.03036600
0.04538500,5.11887000
0.04569800,5.03036600
0.04601100,5.03036600
0.04632400,5.03036600
0.04663700,5.03036600
0.04695000,5.03036600
0.04726300,5.03036600
0.04757600,5.03036600
0.04788900,5.03036600
0.04820200,5.03036600
0.04851500,5.03036600
0.04882800,5.03036600
0.04914100,5.03036600
0.04945400,5.03036600
0.04976700,5.03036600
0.05008000,5.03036600
0.05039300,5.03036600
0.05070600,5.03036600
0.05101900,5.03036600
0.05133200,5.03036600
0.05164500,5.03036600
0.05195800,5.03036600
0.05227100,5.03036600
0.05258400,5.03036600
0.05289700,5.03036600
0.05321000,5.03036600
0.05352300,5.03036600
0.05383600,4.94216700
0.05414900,5.03036600
0.05446200,5.03036600
0.05477500,5.03036600
0.05508800,5.03036600
